T1	PERSON 3 7	江林夏桑
T100	LAW 2365 2372	系爭規定一及二
T101	PROCEDURE 2412 2414	復查
T102	LAW 2430 2442	稅捐稽徵法第39條第1項
T103	LAW 2443 2449	第2項第1款
T104	PROCEDURE 2462 2464	復查
T105	PROCEDURE 2467 2469	復查
T106	PROCEDURE 2493 2495	訴願
T107	ADMINISTRATIVEACTION 2509 2513	行政處分
T108	PROCEDURE 2520 2524	行政爭訟
T109	LAW 2528 2538	訴願法第93條第1項
T110	LAW 2539 2552	行政訴訟法第116條第1項
T111	PROCEDURE 2575 2577	復查
T112	PROCEDURE 2603 2605	復查
T113	PROCEDURE 2611 2613	訴願
T114	PROCEDURE 2621 2623	復查
T115	PROCEDURE 2663 2665	復查
T116	PROCEDURE 2672 2674	訴願
T117	REGULATION 2747 2753	系爭函一及二
T118	PROCEDURE 2756 2758	復查
T119	LAW 2834 2841	系爭規定一及二
T120	LAW 2842 2861	稅捐稽徵法第39條第1項及第2項第1款
T121	LAW 2870 2876	憲法第19條
T122	LAW 2890 2895	系爭規定三
T123	LAW 2908 2910	憲法
T124	RIGHT 2912 2915	財產權
T125	PRINCIPLE 2936 2940	比例原則
T126	LAW 2940 2945	系爭規定三
T127	DATE 2959 2972	滯納金之滯納期限屆滿之次日
T128	DATE 2975 2984	納稅義務人繳納之日
T129	LAW 3028 3038	民法第233條第1項
T130	PROCEDURE 3045 3047	復查
T131	PROCEDURE 3065 3067	訴願
T132	LAW 3080 3095	稅捐稽徵法第39條第2項第1款
T133	LAW 3127 3132	系爭規定三
T134	LAW 3150 3152	憲法
T135	RIGHT 3156 3159	財產權
T136	COURT 3167 3169	本院
T137	LEGALCASES 3169 3178	釋字第311號解釋
T138	LAW 3184 3189	系爭規定三
T139	LAW 3278 3280	憲法
T140	PRINCIPLE 3280 3284	比例原則
T141	LAW 3286 3288	憲法
T142	RIGHT 3292 3295	財產權
T143	DATE 3303 3310	本解釋公布之日
T144	PERSON 3326 3329	許宗力
T145	PERSON 3332 3335	蔡烱燉
T146	PERSON 3335 3338	陳碧玉
T147	PERSON 3338 3341	黃璽君
T148	PERSON 3341 3344	羅昌發
T149	PERSON 3344 3347	湯德宗
T150	PERSON 3347 3350	黃虹霞
T151	PERSON 3350 3353	吳陳鐶
T152	PERSON 3353 3356	蔡明誠
T153	PERSON 3356 3359	林俊益
T154	PERSON 3359 3362	許志雄
T155	PERSON 3362 3365	張瓊文
T156	PERSON 3365 3368	黃瑞明
T157	PERSON 3368 3371	詹森林
T158	PERSON 3371 3374	黃昭元
