T1	PERSON 9 12	林德福
T91	PRINCIPLE 2251 2260	法律不溯及既往原則
T92	PRINCIPLE 2261 2265	比例原則
T93	RIGHT 2274 2277	工作權
T94	RIGHT 2278 2281	財產權
T95	LAW 2284 2298	系爭條例第77條第1項第3款
T96	RIGHT 2355 2358	財產權
T97	RIGHT 2359 2362	工作權
T98	PRINCIPLE 2365 2369	平等原則
T99	LAW 2374 2382	系爭條例上開規定
T100	LAW 2383 2385	憲法
T101	ADMINISTRATIVEACTION 2471 2475	暫時處分
T102	LAW 2491 2495	系爭條例
T103	DATE 2518 2525	85年2月1日
T104	DATE 2528 2532	106年
T105	DURATION 2534 2537	20年
T106	DATE 2718 2722	118年
T107	DATE 2725 2729	138年
T108	DATE 2756 2764	112年7月1日
T109	RIGHT 2784 2791	退撫給與請求權
T110	RIGHT 2792 2795	期待權
T111	RIGHT 2823 2830	退撫給與請求權
T112	RIGHT 2835 2838	請求權
T113	RIGHT 2840 2843	財產權
T114	PRINCIPLE 2906 2915	法律不溯及既往原則
T115	DURATION 3172 3175	35年
T116	DATE 3191 3199	107年7月1日
T117	DATE 3216 3224	118年1月1日
T118	DURATION 3247 3250	15年
T119	LAW 3256 3260	系爭條例
T120	DATE 3283 3291	118年1月1日
T121	DATE 3414 3420	107年7月
T122	LAW 3439 3443	系爭條例
T123	DURATION 3500 3503	2年半
T124	DURATION 3547 3549	6年
T125	LAW 3584 3588	系爭條例
T126	LAW 3597 3601	系爭條例
T127	LAW 3619 3626	第37條第5項
T128	LAW 3632 3636	系爭條例
T129	LAW 3665 3672	第38條第5項
T130	DATE 3706 3713	系爭條例施行日
T131	DATE 3714 3719	退休生效日
T132	DATE 3821 3825	106年
T133	DATE 3902 3906	118年
T134	DATE 3909 3913	138年
T135	PRINCIPLE 4056 4060	平等原則
T136	LAW 4066 4070	系爭條例
T137	PRINCIPLE 4087 4096	法律不溯及既往原則
T138	PRINCIPLE 4097 4103	信賴保護原則
T139	PRINCIPLE 4104 4108	比例原則
T140	PRINCIPLE 4109 4113	平等原則
T141	COURT 4116 4119	司法院
T142	LEGALCASES 4119 4128	釋字第717號解釋
T143	COURT 4138 4140	本院
T144	LEGALCASES 4149 4152	本解釋
T145	DATE 4188 4191	33年
T146	DATE 4228 4231	54年
T147	DATE 4239 4242	64年
T148	DATE 4347 4350	98年
T149	DATE 4361 4365	105年
T150	DATE 4388 4392	144年
T151	DATE 4399 4406	85年2月1日
T152	LAW 4409 4418	學校教職員退休條例
T153	LAW 4421 4431	85年教職員退休條例
T154	LAW 4432 4438	第8條第1項
T155	DATE 4627 4630	62年
T156	DATE 4643 4646	68年
T157	LAW 4798 4814	85年教職員退休條例第8條第3項
T158	DATE 4832 4835	91年
T159	DATE 4836 4839	93年
T160	DATE 4840 4843	94年
T161	DATE 4844 4847	95年
T162	DATE 4911 4917	88年6月底
T163	DATE 4919 4922	91年
T164	DATE 4923 4926	94年
T165	DATE 4927 4930	97年
T166	DATE 4931 4935	100年
T167	DATE 4936 4940	103年
T168	DATE 5029 5032	96年
T169	DATE 5034 5038	105年
T170	LEGALREFERENCE 5057 5079	105年公務人員退休撫卹基金統計年報第98頁
T171	DURATION 5316 5318	1年
T172	DURATION 5321 5324	15年
T173	DURATION 5355 5358	16年
T174	DATE 5439 5443	103年
T175	DATE 5451 5455	100年
T176	DATE 5456 5460	105年
T177	LAW 5518 5522	系爭條例
T178	DURATION 5575 5578	25年
T179	DURATION 5586 5589	35年
T180	DURATION 5631 5634	15年
T181	DURATION 5642 5645	35年
T182	DATE 5664 5672	100年2月1日
T183	REGULATION 5675 5710	公立學校退休教職員一次退休金及養老給付優惠存款辦法第4條第1項至第4項
T184	DATE 5741 5744	86年
T185	DATE 5751 5755	105年
T186	LAW 5768 5772	系爭條例
T187	DATE 5847 5851	115年
T188	DURATION 5866 5869	15年
T189	LAW 5870 5877	第32條第1項
T190	LAW 5897 5908	第18條第2項、第4項
T191	LAW 5937 5948	第19條第2款、第3款
T192	LAW 5964 5968	系爭條例
T193	LAW 5997 6001	系爭條例
T194	LAW 6030 6034	系爭條例
T195	DATE 6038 6046	107年7月1日
T196	DATE 6047 6057	108年12月31日
T197	DURATION 6067 6069	5年
T198	DURATION 6087 6089	1年
T199	DATE 6091 6095	118年
T200	DURATION 6102 6105	15年
T201	LAW 6117 6121	第28條
T202	LAW 6122 6126	系爭條例
T203	DATE 6146 6154	107年7月1日
T204	DATE 6156 6164	118年1月1日
T205	DATE 6199 6206	系爭條例施行日
T206	DURATION 6214 6217	15年
T207	DATE 6220 6228	107年7月1日
T208	DATE 6229 6239	108年12月31日
T209	DURATION 6261 6264	35年
T210	DURATION 6282 6285	40年
T211	LAW 6293 6297	系爭條例
T212	DURATION 6310 6313	40年
T213	DURATION 6316 6319	35年
T214	DURATION 6331 6334	40年
T215	DATE 6342 6350	109年1月1日
T216	DATE 6352 6360	118年1月1日
T217	DURATION 6361 6364	10年
T218	LAW 6392 6396	第37條
T219	LAW 6397 6401	系爭條例
T220	LAW 6405 6409	第38條
T221	DATE 6469 6473	107年
T222	LAW 6473 6477	系爭條例
T223	LAW 6538 6542	系爭條例
T224	LAW 6618 6640	第4條第6款、第36條第2項、第39條第2項
T225	DATE 6689 6697	107年7月1日
T226	DATE 6698 6708	109年12月31日
T227	DATE 6716 6724	110年1月1日
T228	DATE 6805 6813	107年7月1日
T229	DATE 6814 6824	109年12月31日
T230	LAW 6920 6939	第36條第1項、第3項、第39條第1項
T231	DATE 7011 7019	107年7月1日
T232	DATE 7020 7030	109年12月31日
T233	DATE 7038 7046	110年1月1日
T234	DATE 7047 7057	111年12月31日
T235	DATE 7065 7073	112年1月1日
T236	DATE 7074 7084	113年12月31日
T237	DATE 7091 7099	114年1月1日
T238	LAW 7138 7145	第36條第4項
T239	LAW 7182 7188	第8條第2項
T240	LAW 7202 7206	系爭條例
T241	DURATION 7208 7210	1年
T242	DATE 7213 7221	108年7月1日
T243	LAW 7239 7246	第34條第1項
T244	LAW 7310 7320	第77條第1項第3款
T245	LAW 7375 7382	第40條第1項
T246	LAW 7407 7411	系爭條例
T247	LAW 7545 7568	第37條第5項、第38條第5項、第67條第1項
T248	LAW 7607 7616	第12條、第13條
T249	LAW 7658 7665	第11條第1項
T250	DURATION 7697 7699	5年
T251	LAW 7723 7727	第97條
T252	COURT 7733 7735	本院
T253	LAW 7753 7755	憲法
T254	COURT 7784 7786	本院
T255	LAW 7790 7797	憲法第165條
T256	LAW 7854 7858	系爭條例
T257	LAW 7875 7877	憲法
T258	RIGHT 7880 7883	財產權
T259	COURT 7884 7886	本院
T260	LEGALCASES 7886 7893	釋字第707號
T261	LEGALCASES 7894 7901	第730號解釋
T262	RIGHT 7907 7914	退撫給與請求權
T263	LAW 7916 7918	憲法
T264	RIGHT 7918 7921	財產權
T265	RIGHT 7938 7941	請求權
T266	LAW 8254 8299	公務人員退休撫卹基金管理條例第1條第2項、第3條第1項、第4條第1項、第5條第3項及第8條
T267	RIGHT 8360 8363	請求權
T268	COURT 8400 8402	本院
T269	RIGHT 8799 8802	請求權
T270	COURT 8820 8822	本院
T271	PRINCIPLE 8832 8836	比例原則
T272	PRINCIPLE 8841 8847	信賴保護原則
T273	LEGALCASES 8880 8883	本解釋
T274	DATE 8920 8928	82年1月20日
T275	DATE 8933 8940	84年7月1日
T276	LAW 8943 8956	公務人員退休法第8條第1項
T277	DATE 9011 9018	84年8月2日
T278	DATE 9023 9030	85年2月1日
T279	LAW 9033 9048	學校教職員退休條例第8條第1項
T280	DATE 9101 9109	84年8月11日
T281	DATE 9114 9121	86年1月1日
T282	LAW 9124 9136	陸海空軍軍官士官服役條例
T283	LAW 9139 9146	86年服役條例
T284	LAW 9147 9154	第27條第1項
T285	LAW 9211 9221	系爭條例第8條第1項
T286	LAW 9226 9229	第6條
T287	LAW 9278 9282	上開規定
T288	DATE 9372 9375	84年
T289	LAW 9378 9385	公務人員退休法
T290	DATE 9386 9389	85年
T291	LAW 9392 9401	學校教職員退休條例
T292	LAW 9402 9409	86年服役條例
T293	LAW 9410 9414	系爭條例
T294	LAW 9603 9620	公務人員退休撫卹基金管理條例第8條
T295	PRINCIPLE 9862 9868	信賴保護原則
T296	PRINCIPLE 9869 9873	比例原則
T297	PRINCIPLE 10035 10041	信賴保護原則
T298	PRINCIPLE 10042 10046	比例原則
T299	RIGHT 10119 10127	退休金給付請求權
T300	LAW 10192 10210	教師待遇條例第2條、第4條及第13條
T301	DURATION 10378 10380	1年
T302	DURATION 10384 10387	15年
T303	LAW 10526 10547	勞工退休金條例第14條、第16條及第23條
T304	LAW 10621 10627	第8條第2項
T305	PRINCIPLE 10632 10641	法律不溯及既往原則
T306	RIGHT 10642 10645	工作權
T307	PRINCIPLE 10653 10657	比例原則
T308	LAW 10659 10661	憲法
T309	RIGHT 10665 10668	財產權
T310	LAW 10675 10685	系爭條例第8條第2項
T311	LAW 10689 10691	前項
T312	RIGHT 10824 10827	財產權
T313	LAW 10844 10848	系爭條例
T314	RIGHT 10910 10913	工作權
T315	RIGHT 10964 10967	財產權
T316	PRINCIPLE 10974 10978	比例原則
T317	COURT 11015 11017	本院
T318	LAW 11046 11052	第8條第1項
T319	DATE 11265 11269	105年
T320	DATE 11316 11323	85年2月1日
T321	LAW 11545 11551	第9條第1項
T322	DATE 11569 11573	105年
T323	LAW 11609 11613	系爭條例
T324	LAW 11656 11662	第8條第2項
T325	PRINCIPLE 11666 11675	法律不溯及既往原則
T326	RIGHT 11676 11679	工作權
T327	PRINCIPLE 11687 11691	比例原則
T328	LAW 11693 11695	憲法
T329	RIGHT 11699 11702	財產權
T330	LAW 11712 11726	第4條第6款、第39條第2項
T331	LAW 11730 11732	憲法
T332	RIGHT 11734 11737	生存權
T333	LAW 11752 11762	系爭條例第4條第6款
T334	LAW 11813 11820	第39條第2項
T335	LAW 11839 11843	第37條
T336	LAW 11844 11846	前條
T337	COURT 11910 11912	本院
T338	LEGALCASES 11912 11921	釋字第280號解釋
T339	DATE 11964 11970	107年7月
T340	LAW 11996 12000	系爭條例
T341	LAW 12053 12055	憲法
T342	LAW 12167 12171	系爭條例
T343	LAW 12177 12186	第39條第2項但書
T344	LAW 12316 12324	社會救助法第4條
T345	LAW 12360 12362	憲法
T346	RIGHT 12366 12369	生存權
T347	LAW 12375 12379	上開規定
T348	LAW 12381 12383	憲法
T349	RIGHT 12385 12388	生存權
T350	LAW 12406 12451	第4條第4款、第5款、第19條第2款、第3款、第36條、第37條、第38條及第39條第1項
T351	PRINCIPLE 12456 12465	法律不溯及既往原則
T352	PRINCIPLE 12467 12473	信賴保護原則
T353	PRINCIPLE 12474 12478	比例原則
T354	LAW 12485 12489	上開規定
T355	PRINCIPLE 12491 12500	法律不溯及既往原則
T356	LAW 12538 12541	該法規
T357	PRINCIPLE 12559 12569	禁止法律溯及既往原則
T358	PRINCIPLE 12693 12703	禁止法律溯及既往原則
T359	COURT 12704 12706	本院
T360	LEGALCASES 12706 12713	釋字第620號
T361	LEGALCASES 12714 12721	第717號解釋
T362	RIGHT 12806 12813	退撫給與請求權
T363	LAW 12859 12863	系爭條例
T364	LAW 12880 12884	系爭條例
T365	LAW 12907 12934	第67條第1項、第75條至第77條、第79條至第81條
T366	LAW 12935 12960	學校教職員退休條例第5條第3項、第12條、第13條
T367	REGULATION 12961 12981	學校教職員退休條例施行細則第34條第4項
T368	PRINCIPLE 13135 13144	法律不溯及既往原則
T369	LAW 13146 13150	系爭條例
T370	LAW 13175 13179	系爭條例
T371	LAW 13185 13189	系爭條例
T372	LAW 13275 13284	第36條至第39條
T373	LAW 13290 13294	上開規定
T374	PRINCIPLE 13349 13358	法律不溯及既往原則
T375	COURT 13359 13361	本院
T376	LEGALCASES 13361 13370	釋字第717號解釋
T377	LAW 13383 13387	上開規定
T378	PRINCIPLE 13396 13402	信賴保護原則
T379	PRINCIPLE 13403 13407	比例原則
T380	LAW 13414 13418	系爭條例
T381	COURT 13447 13449	本院
T382	PRINCIPLE 13465 13469	比例原則
T383	PRINCIPLE 13474 13480	信賴保護原則
T384	LAW 13494 13498	系爭條例
T385	LAW 13856 13860	系爭條例
T386	LAW 13882 13886	系爭條例
T387	DURATION 13902 13905	20年
T388	DURATION 13915 13918	35年
T389	DURATION 13977 13980	20年
T390	DATE 13990 13998	107年7月1日
T391	DATE 14029 14037	118年1月1日
T392	DATE 14046 14054	107年7月1日
T393	LAW 14162 14166	系爭條例
T394	LAW 14216 14227	系爭條例第39條第1項
T395	LAW 14307 14311	系爭條例
T396	PRINCIPLE 14348 14352	比例原則
T397	PRINCIPLE 14357 14363	信賴保護原則
T398	COURT 14369 14371	本院
T399	LAW 14387 14391	系爭條例
T400	PRINCIPLE 14414 14420	信賴保護原則
T401	LAW 14469 14471	憲法
T402	PRINCIPLE 14556 14565	法律不溯及既往原則
T403	PRINCIPLE 14735 14741	信賴保護原則
T404	PRINCIPLE 14742 14746	比例原則
T405	COURT 14747 14749	本院
T406	LEGALCASES 14749 14756	釋字第525號
T407	LEGALCASES 14757 14764	第717號解釋
T408	LAW 14769 14781	85年學校教職員退休條例
T409	LAW 14801 14805	系爭條例
T410	DURATION 14810 14813	20年
T411	LAW 14884 14886	憲法
T412	DURATION 14966 14968	1年
T413	DURATION 14972 14975	15年
T414	DURATION 15163 15166	50年
T415	DATE 15170 15173	63年
T416	DATE 15191 15194	63年
T417	DATE 15195 15198	69年
T418	DATE 15201 15204	70年
T419	DATE 15205 15208	79年
T420	DATE 15211 15214	80年
T421	DATE 15215 15218	88年
T422	DATE 15225 15228	90年
T423	DATE 15229 15233	107年
T424	DATE 15238 15241	85年
T425	DATE 15259 15262	84年
T426	DATE 15268 15271	86年
T427	DATE 15282 15285	69年
T428	COUNTRY 15442 15444	臺灣
T429	DATE 15486 15489	72年
T430	DURATION 15497 15499	1年
T431	DATE 15507 15509	72
T432	DATE 15518 15521	90年
T433	DATE 15527 15530	99年
T434	DATE 15536 15540	105年
T435	DURATION 15625 15628	20年
T436	DURATION 15653 15655	1年
T437	DURATION 15658 15661	15年
T438	DURATION 15683 15685	1年
T439	DURATION 15701 15704	16年
T440	DATE 15924 15928	103年
T441	DATE 15937 15941	118年
T442	LAW 16008 16012	系爭條例
T443	DATE 16081 16085	105年
T444	LAW 16198 16202	上開規定
T445	LAW 16269 16273	系爭條例
T446	LAW 16278 16282	系爭條例
T447	LAW 16332 16336	系爭條例
T448	LAW 16363 16367	系爭條例
T449	LAW 16394 16398	系爭條例
T450	DURATION 16412 16414	5年
T451	DURATION 16415 16418	15年
T452	LAW 16428 16437	第27條及第37條
T453	LAW 16471 16475	系爭條例
T454	LAW 16744 16748	系爭條例
T455	LAW 16791 16795	系爭條例
T456	LAW 16841 16845	系爭條例
T457	DATE 16847 16855	107年7月1日
T458	DATE 16857 16865	118年1月1日
T459	DATE 16892 16899	系爭條例施行日
T460	DURATION 16907 16910	15年
T461	DATE 16913 16921	107年7月1日
T462	DURATION 16943 16946	35年
T463	DURATION 16964 16967	40年
T464	LAW 16975 16979	系爭條例
T465	DURATION 16992 16995	40年
T466	DURATION 16998 17001	35年
T467	DURATION 17013 17016	40年
T468	DATE 17025 17033	109年1月1日
T469	DATE 17035 17043	118年1月1日
T470	DURATION 17044 17047	10年
T471	LAW 17075 17079	第37條
T472	LAW 17084 17088	系爭條例
T473	DATE 17107 17115	107年7月1日
T474	DURATION 17127 17130	20年
T475	DURATION 17131 17134	25年
T476	DURATION 17135 17138	30年
T477	DURATION 17139 17142	35年
T478	DURATION 17143 17146	40年
T479	DATE 17153 17159	107年7月
T480	LAW 17204 17208	系爭條例
T481	DURATION 17305 17308	35年
T482	DATE 17330 17338	107年7月1日
T483	DURATION 17351 17354	20年
T484	DURATION 17355 17358	25年
T485	DURATION 17359 17362	30年
T486	DURATION 17363 17366	35年
T487	DURATION 17367 17370	40年
T488	DATE 17379 17387	118年1月1日
T489	DATE 17401 17407	107年7月
T490	LAW 17452 17456	系爭條例
T491	DURATION 17533 17536	35年
T492	DATE 17555 17563	107年7月1日
T493	LAW 17577 17581	系爭條例
T494	DURATION 17759 17762	35年
T495	DATE 17774 17782	107年7月1日
T496	DATE 17790 17798	118年1月1日
T497	DATE 17817 17823	107年7月
T498	DURATION 17936 17939	15年
T499	DURATION 17940 17943	35年
T500	DURATION 17990 17993	35年
T501	DURATION 17994 17997	15年
T502	DATE 18001 18009	107年7月1日
T503	DATE 18031 18037	118年1月
T504	DURATION 18099 18102	15年
T505	LAW 18108 18112	系爭條例
T506	DATE 18129 18137	118年1月1日
T507	LAW 18167 18171	系爭條例
T508	DURATION 18252 18255	20年
T509	LAW 18277 18281	系爭條例
T510	LAW 18288 18292	系爭條例
T511	DATE 18297 18307	116年12月31日
T512	DATE 18333 18337	117年
T513	LAW 18372 18376	系爭條例
T514	LAW 18391 18395	系爭條例
T515	LAW 18414 18418	系爭條例
T516	LAW 18437 18441	系爭條例
T517	LAW 18533 18541	系爭條例第37條
T518	LAW 18564 18580	系爭條例第36條、第39條第1項
T519	DURATION 18618 18621	35年
T520	LAW 18626 18630	系爭條例
T521	REGULATION 18649 18680	公立學校退休教職員一次退休金及養老給付優惠存款辦法第4條第2項
T522	DATE 18685 18692	系爭條例施行日
T523	LAW 18707 18711	系爭條例
T524	LAW 18858 18862	系爭條例
T525	LAW 19081 19085	上開規定
T526	DURATION 19118 19121	10年
T527	DATE 19192 19200	107年7月1日
T528	DATE 19201 19211	109年12月31日
T529	DATE 19219 19227	110年1月1日
T530	DATE 19228 19238	111年12月31日
T531	DATE 19246 19254	112年1月1日
T532	DATE 19255 19265	113年12月31日
T533	DATE 19272 19280	114年1月1日
T534	DURATION 19297 19299	6年
T535	LAW 19358 19403	第4條第4款、第5款、第19條第2款、第3款、第36條、第37條、第38條及第39條第1項
T536	PRINCIPLE 19407 19413	信賴保護原則
T537	PRINCIPLE 19414 19418	比例原則
T538	LAW 19805 19809	上開規定
T539	PRINCIPLE 19854 19860	信賴保護原則
T540	PRINCIPLE 19861 19865	比例原則
T541	LAW 19896 19900	系爭條例
T542	DATE 19903 19909	107年7月
T543	LAW 20174 20178	第97條
T544	LAW 20260 20264	第97條
T545	LEGALCASES 20275 20278	本解釋
T546	LAW 20282 20286	系爭條例
T547	LAW 20447 20451	系爭條例
T548	DATE 20487 20491	118年
T549	DATE 20494 20498	138年
T550	LEGALCASES 20517 20519	本案
T551	DATE 20542 20546	118年
T552	DURATION 20574 20577	25年
T553	DURATION 20578 20581	30年
T554	LAW 20601 20605	系爭條例
T555	RIGHT 20643 20646	財產權
T556	PRINCIPLE 20658 20662	比例原則
T557	COURT 20668 20670	本院
T558	LAW 20743 20747	系爭條例
T559	DURATION 20768 20770	6年
T560	DATE 20813 20821	109年1月1日
T561	DURATION 20842 20845	15年
T562	DATE 20946 20950	118年
T563	DATE 20953 20957	138年
T564	DATE 20974 20977	118
T565	DATE 20981 20985	134年
T566	DATE 20994 20998	106年
T567	DATE 21054 21058	118年
T568	DATE 21061 21065	138年
T569	LAW 21073 21077	系爭條例
T570	DURATION 21119 21122	35年
T571	DURATION 21127 21130	15年
T572	DURATION 21155 21160	2年6個月
T573	DURATION 21226 21229	10年
T574	LAW 21292 21299	第40條第1項
T575	LAW 21332 21336	系爭條例
T576	LAW 21382 21386	第97條
T577	LEGALCASES 21397 21400	本解釋
T578	LAW 21404 21408	系爭條例
T579	LAW 21524 21533	第67條第1項前段
T580	LAW 21536 21540	系爭條例
T581	LEGALCASES 21555 21558	本解釋
T582	LAW 21606 21608	憲法
T583	LAW 21616 21629	系爭條例第67條第1項前段
T584	LAW 21794 21798	系爭條例
T585	LAW 21811 21815	系爭條例
T586	LAW 21824 21828	系爭條例
T587	DATE 21832 21840	107年7月1日
T588	LAW 21856 21860	系爭條例
T589	LAW 21914 21927	系爭條例第36條至第39條
T590	LAW 21956 21960	系爭條例
T591	REGULATION 21993 22006	系爭條例施行細則第103條
T592	LAW 22007 22019	勞工保險條例第65條之4
T593	LAW 22020 22031	公教人員保險法第31條
T594	LAW 22035 22039	上開規定
T595	LAW 22077 22081	系爭條例
T596	LEGALCASES 22096 22099	本解釋
T597	LAW 22105 22109	上開規定
T598	LAW 22151 22153	憲法
T599	LAW 22164 22174	第77條第1項第3款
T600	LAW 22177 22179	憲法
T601	RIGHT 22181 22184	平等權
T602	DATE 22192 22199	本解釋公布之日
T603	LAW 22219 22221	憲法
T604	PRINCIPLE 22221 22225	平等原則
T605	PRINCIPLE 22271 22275	平等原則
T606	PRINCIPLE 22284 22288	平等原則
T607	LAW 22299 22301	該法
T608	COURT 22350 22352	本院
T609	LEGALCASES 22352 22359	釋字第593號
T610	LEGALCASES 22360 22365	第682號
T611	LEGALCASES 22366 22371	第694號
T612	LEGALCASES 22372 22377	第701號
T613	LEGALCASES 22378 22383	第760號
T614	LEGALCASES 22384 22391	第764號解釋
T615	LAW 22395 22409	系爭條例第77條第1項第3款
T616	RIGHT 22597 22600	財產權
T617	LAW 22620 22624	上開規定
T618	RIGHT 22640 22643	工作權
T619	LAW 22674 22678	上開規定
T620	COURT 22697 22699	本院
T621	LAW 22760 22765	憲法第7條
T622	RIGHT 22767 22770	平等權
T623	LAW 22775 22779	上開規定
T624	LEGALREFERENCE 22858 22888	立法院公報第105卷第82期委員會紀錄第364頁至第402頁
T625	COURT 22893 22895	本院
T626	DATE 22895 22904	108年5月15日
T627	LAW 22954 22958	系爭條例
T628	DATE 22959 22967	106年8月9日
T629	DATE 22973 22982	105年10月7日
T630	REGULATION 22987 23022	教育部獎勵補助私立技專校院整體發展經費核配及申請要點第9點第5款第3目
T631	DATE 23024 23033	106年1月24日
T632	REGULATION 23038 23066	教育部獎勵私立大學校院校務發展計畫要點第8點第1款第1目
T633	DATE 23109 23118	104年6月10日
T634	LAW 23125 23156	學校法人及其所屬私立學校教職員退休撫卹離職資遣條例第8條第8項
T635	DATE 23410 23414	108年
T636	LAW 23500 23504	上開規定
T637	LAW 23763 23777	產業創新條例第9條、第10條
T638	REGULATION 23778 23806	經濟部協助產業創新活動補助獎勵及輔導辦法第4條、第10條
T639	LAW 23811 23815	上開規定
T640	LAW 23954 23958	上開規定
T641	LAW 24045 24049	上開規定
T642	LAW 24159 24161	憲法
T643	RIGHT 24163 24166	平等權
T644	DATE 24174 24181	本解釋公布之日
T645	PRINCIPLE 24300 24304	平等原則
T646	ADMINISTRATIVEACTION 24312 24316	暫時處分
T647	LEGALCASES 24323 24325	本案
T648	ADMINISTRATIVEACTION 24334 24338	暫時處分
T649	ADMINISTRATIVEACTION 24345 24349	暫時處分
T650	PERSON 24373 24376	許宗力
T651	PERSON 24379 24382	蔡烱燉
T652	PERSON 24382 24385	陳碧玉
T653	PERSON 24385 24388	黃璽君
T654	PERSON 24388 24391	羅昌發
T655	PERSON 24391 24394	黃虹霞
T656	PERSON 24394 24397	吳陳鐶
T657	PERSON 24397 24400	蔡明誠
T658	PERSON 24400 24403	林俊益
T659	PERSON 24403 24406	許志雄
T660	PERSON 24406 24409	張瓊文
T661	PERSON 24409 24412	黃瑞明
T662	PERSON 24412 24415	詹森林
T663	PERSON 24415 24418	黃昭元
T664	PERSON 24419 24422	湯德宗
T665	LEGALCASES 24429 24431	本案
