T1	LAW 31 43	民法第195條第1項後段
T56	LEGALCASES 1552 1559	釋字第577號
T57	LEGALCASES 1560 1567	第794號解釋
T58	RIGHT 1607 1611	言論自由
T59	RIGHT 1646 1650	新聞自由
T60	LAW 1679 1683	系爭規定
T61	LAW 1744 1746	憲法
T62	RIGHT 1750 1754	言論自由
T63	LAW 1977 1981	系爭規定
T64	RIGHT 1998 2001	人格權
T65	RIGHT 2050 2053	名譽權
T66	LAW 2137 2149	民法第195條第1項前段
T67	LAW 2184 2188	系爭規定
T68	RIGHT 2261 2265	人性尊嚴
T69	LEGALCASES 2269 2273	系爭解釋
T70	LAW 2281 2283	憲法
T71	RIGHT 2287 2291	言論自由
T72	RIGHT 2486 2491	不表意自由
T73	LAW 2603 2616	強制執行法第127條第1項
T74	RIGHT 2763 2767	人性尊嚴
T75	LAW 2788 2790	憲法
T76	RIGHT 2794 2798	言論自由
T77	LAW 2833 2835	憲法
T78	RIGHT 2837 2841	思想自由
T79	RIGHT 2850 2854	思想自由
T80	RIGHT 2884 2888	言論自由
T81	LAW 2894 2896	憲法
T82	RIGHT 2904 2908	人性尊嚴
T83	COURT 2935 2938	司法院
T84	LEGALCASES 2938 2947	釋字第567號解釋
T85	RIGHT 3061 3064	名譽權
T86	RIGHT 3082 3086	思想自由
T87	RIGHT 3187 3191	言論自由
T88	RIGHT 3219 3223	思想自由
T89	RIGHT 3306 3310	人性尊嚴
T90	LAW 3315 3317	憲法
T91	RIGHT 3322 3326	思想自由
T92	RIGHT 3350 3352	思想
T93	RIGHT 3353 3357	良心自由
T94	RIGHT 3369 3373	思想自由
T95	LAW 3400 3404	系爭規定
T96	RIGHT 3458 3462	人性尊嚴
T97	LAW 3468 3470	憲法
T98	RIGHT 3474 3478	言論自由
T99	LAW 3496 3498	憲法
T100	RIGHT 3500 3504	思想自由
T101	LAW 3511 3515	系爭規定
T102	LAW 3548 3554	憲法第11條
T103	RIGHT 3558 3562	言論自由
T104	LAW 3563 3567	第22條
T105	RIGHT 3571 3575	思想自由
T106	LEGALCASES 3585 3589	系爭解釋
T107	LAW 3609 3623	憲法訴訟法第91條第2項前段
T108	DATE 3627 3634	本判決送達之日
T109	DURATION 3635 3638	30日
T110	PROCEDURE 3643 3645	再審
T111	COURT 3648 3651	司法院
T112	LEGALCASES 3651 3660	釋字第800號解釋
T113	LAW 3666 3671	同條第3項
T114	DATE 3682 3686	繫屬之日
T115	DATE 3688 3698	本判決送達聲請人之日
T116	LAW 3703 3716	民事訴訟法第500條第2項
T117	DURATION 3718 3720	5年
T118	PROCEDURE 3720 3722	再審
T119	PROCEDURE 3765 3767	再審
T120	PROCEDURE 3779 3781	再審
T121	PROCEDURE 3856 3858	再審
T122	PROCEDURE 3862 3864	再審
T123	LEGALCASES 3869 3872	本判決
T124	LAW 3946 3958	民事訴訟法第505條之1
T125	COURT 4160 4168	臺灣高雄地方法院
T126	LEGALCASES 4168 4185	102年度簡上字第451號刑事判決
T127	LAW 4189 4199	刑法第309條第1項
T128	LAW 4206 4208	憲法
T129	LEGALCASES 4213 4216	本判決
T130	LAW 4233 4245	憲法訴訟法第24條第2項
T131	DATE 4260 4273	中華民國111年2月25日
T132	COURT 4273 4277	憲法法庭
T133	PERSON 4283 4286	許宗力
T134	PERSON 4289 4292	黃虹霞
T135	PERSON 4292 4295	吳陳鐶
T136	PERSON 4295 4298	蔡明誠
T137	PERSON 4298 4301	林俊益
T138	PERSON 4301 4304	許志雄
T139	PERSON 4304 4307	張瓊文
T140	PERSON 4307 4310	黃瑞明
T141	PERSON 4310 4313	詹森林
T142	PERSON 4313 4316	黃昭元
T143	PERSON 4316 4319	謝銘洋
T144	PERSON 4319 4322	呂太郎
T145	PERSON 4322 4325	楊惠欽
T146	PERSON 4325 4328	蔡宗珍
