T1	LEGALCASES 0 9	釋字第746號解釋
T59	DURATION 2283 2285	2日
T60	DURATION 2290 2293	30日
T61	PRINCIPLE 2304 2308	比例原則
T62	LAW 2351 2358	系爭規定一及二
T63	DURATION 2384 2386	1年
T64	COUNTRY 2390 2392	美國
T65	COUNTRY 2417 2419	德國
T66	DURATION 2450 2453	15年
T67	COURT 2569 2571	本院
T68	LEGALCASES 2571 2580	釋字第738號解釋
T69	LAW 2635 2637	憲法
T70	PRINCIPLE 2667 2673	權力分立原則
T71	COURT 2807 2809	本院
T72	REGULATION 2838 2844	系爭函一及二
T73	PRINCIPLE 2847 2851	平等原則
T74	REGULATION 2880 2886	系爭函一及二
T75	LAW 2904 2911	系爭規定一及二
T76	LAW 2928 2947	稅捐稽徵法第39條第1項及第2項第1款
T77	PRINCIPLE 2977 2981	平等原則
T78	REGULATION 2984 2990	系爭函一及二
T79	PROCEDURE 3034 3036	復查
T80	DURATION 3056 3059	30日
T81	PROCEDURE 3115 3117	復查
T82	PROCEDURE 3124 3126	復查
T83	PROCEDURE 3143 3145	復查
T84	PROCEDURE 3179 3181	復查
T85	PROCEDURE 3186 3188	訴願
T86	PROCEDURE 3189 3191	訴願
T87	PROCEDURE 3195 3197	復查
T88	DURATION 3225 3228	30日
T89	PROCEDURE 3284 3286	復查
T90	PROCEDURE 3292 3294	訴願
T91	LAW 3312 3327	稅捐稽徵法第39條第2項第1款
T92	PROCEDURE 3345 3347	訴願
T93	PROCEDURE 3355 3357	復查
T94	PROCEDURE 3455 3457	復查
T95	PROCEDURE 3463 3465	訴願
T96	LAW 3483 3498	稅捐稽徵法第39條第2項第1款
T97	ADMINISTRATIVEACTION 3516 3520	訴願決定
T98	PROCEDURE 3526 3528	復查
T99	DURATION 3581 3584	30日
T100	PROCEDURE 3646 3648	復查
T101	PROCEDURE 3654 3656	訴願
T102	LAW 3694 3709	稅捐稽徵法第39條第2項第1款
T103	DURATION 3767 3770	30日
T104	ADMINISTRATIVEACTION 3802 3806	訴願決定
T105	PROCEDURE 3812 3814	復查
T106	DURATION 3867 3870	30日
T107	PROCEDURE 3949 3951	復查
T108	PROCEDURE 3968 3970	訴願
T109	PROCEDURE 3971 3973	訴願
T110	PROCEDURE 3994 3996	訴願
T111	PROCEDURE 4006 4008	訴願
T112	PROCEDURE 4040 4042	訴願
T113	PROCEDURE 4052 4054	訴願
T114	PROCEDURE 4086 4088	訴願
T115	PROCEDURE 4119 4121	復查
T116	PROCEDURE 4128 4130	訴願
T117	PROCEDURE 4150 4152	訴願
T118	PROCEDURE 4173 4175	復查
T119	PROCEDURE 4179 4181	訴願
T120	PRINCIPLE 4207 4211	平等原則
T121	REGULATION 4239 4245	系爭函一及二
T122	REGULATION 4264 4270	系爭函一及二
T123	REGULATION 4324 4330	系爭函一及二
T124	RIGHT 4344 4347	基本權
T125	COURT 4355 4357	本院
T126	COURT 4362 4364	本院
T127	PRINCIPLE 4378 4387	不利益變更禁止原則
T128	LAW 4415 4425	訴願法第81條第1項
T129	LAW 4426 4439	行政訴訟法第195條第2項
T130	COURT 4440 4442	本院
T131	PERSON 4454 4456	吳庚
T132	LEGALCASES 4461 4470	釋字第271號解釋
T133	LEGALREFERENCE 4473 4481	不同意見書「三」
T134	PRINCIPLE 4490 4496	信賴保護原則
T135	LAW 4506 4508	憲法
T136	COURT 4512 4514	本院
T137	COURT 4525 4527	本院
T138	RIGHT 4535 4539	基本權利
T139	LAW 4616 4623	系爭規定一及二
T140	REGULATION 4651 4657	系爭函一及二
T141	PRINCIPLE 4660 4664	平等原則
T142	LAW 4735 4737	憲法
T143	LAW 4765 4767	憲法
T144	PROCEDURE 4767 4769	訴願
T145	LAW 4781 4786	系爭規定三
T146	LAW 4827 4829	稅法
T147	LAW 4833 4838	系爭規定三
T148	LAW 4866 4878	所得稅法第112條第2項
T149	LAW 4879 4898	加值型及非加值型營業稅法第50條第2項
T150	LAW 4899 4911	貨物稅條例第31條第2項
T151	LAW 4912 4923	菸酒稅法第18條第2項
T152	LAW 4927 4930	該4項
T153	LEGALCASES 4955 4959	本件解釋
T154	LAW 5041 5046	系爭規定三
T155	LAW 5058 5061	該4項
T156	LEGALCASES 5073 5077	本件解釋
T157	LAW 5081 5083	憲法
T158	PRINCIPLE 5184 5188	比例原則
T159	RIGHT 5219 5222	財產權
